Bee ID,Species,Site,Treatment,Wax,WaxTime,Egg,EggTime,Survival,SurvivalTime ,Syrup1,Size1,Size2,Syrup2,Z_score_for_size,InfectionStatus,Average_terminal_oocyte_length,Z_Oocyte
1,pratorum,Heather,Control,nowax,29,noeggs,29,survived,29,1.09,6.3,250.047,0.00435918,0.195469509,Uninfected,2.69,2.192181312
6,pratorum,Heather,High,nowax,29,noeggs,29,survived,29,0.92,6.49,273.359449,0.003365532,1.014286665,Uninfected,2.4,1.346149361
7,pratorum,Heather,Control,wax,23,noeggs,29,survived,29,1.09,6.59,286.191179,0.003808643,1.445243063,Uninfected,2.14,0.587637956
8,pratorum,Heather,Low,wax,9,noeggs,29,survived,29,1.14,6.5,274.625,0.004151115,1.057382305,Uninfected,1.77,-0.49178212
9,pratorum,Heather,High,wax,14,noeggs,29,survived,29,1.14,6.6,287.496,0.003965273,1.488338702,Uninfected,2.04,0.295902801
10,pratorum,Heather,Control,wax,16,noeggs,29,survived,29,0.46,6.47,270.840023,0.00169842,0.928095385,Uninfected,2.5,1.637884517
11,pratorum,Heather,Low,nowax,29,noeggs,29,survived,29,1.15,6.63,291.434247,0.003946002,1.617625622,Uninfected,2.01,0.208382254
12,pratorum,Heather,High,nowax,29,eggs,5,survived,29,1.31,6.18,236.029032,0.005550165,-0.321678168,Uninfected,2.61,1.958793188
13,terrestris,Heather,Control,wax,7,noeggs,29,survived,29,1.47,7.87,487.443403,0.003015735,-0.991241178,Uninfected,3.04,0.445523794
14,terrestris,Heather,Low,nowax,29,eggs,9,died,26,1.62,8.53,620.650477,0.002610165,1.856980918,Uninfected,3.45,NA
15,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.34,8.2,551.368,0.002430319,0.43286987,Uninfected,3.15,0.706493149
16,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,0.91,7.98,508.169592,0.001790741,-0.516537495,Uninfected,2.18,-1.594782076
17,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.34,8.05,521.660125,0.002568722,-0.214453333,Uninfected,2.33,-1.238914773
19,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.42,8.03,517.781627,0.002742469,-0.300763094,Uninfected,2.61,-0.574629141
20,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,0.99,8.19,549.353259,0.001802119,0.38971499,Uninfected,2.46,-0.930496444
21,terrestris,Heather,High,wax,9,eggs,10,survived,29,1.71,8.61,638.277381,0.002679086,2.20221996,Uninfected,3.64,1.868993006
23,terrestris,Heather,Low,wax,23,noeggs,29,survived,29,1.41,8.01,513.922401,0.002743605,-0.387072854,Uninfected,3.71,2.035064414
24,terrestris,Heather,High,wax,7,noeggs,29,survived,29,1.71,8.28,567.663552,0.003012348,0.778108912,Uninfected,3.07,0.516697255
25,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.31,7.92,496.793088,0.002636913,-0.775466777,Uninfected,2.61,-0.574629141
26,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.32,8.09,529.475129,0.002493035,-0.041833812,Uninfected,2.63,-0.527180167
27,terrestris,Heather,High,nowax,29,eggs,27,survived,29,1.22,8.27,565.609283,0.002156966,0.734954032,Uninfected,4.21,3.221288757
28,terrestris,Heather,Control,nowax,29,eggs,13,survived,29,1.07,7.91,494.913671,0.002161993,-0.818621657,Uninfected,3.18,0.77766661
29,terrestris,Heather,Low,wax,7,noeggs,29,survived,29,1.25,7.88,489.303872,0.00255465,-0.948086298,Uninfected,2.91,0.137105465
31,terrestris,Heather,Control,wax,9,NA,11,survived,29,1.61,8.07,525.557943,0.003063411,-0.128143573,Uninfected,2.82,-0.076414917
33,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,0.95,7.94,500.566184,0.001897851,-0.689157016,Uninfected,2.64,-0.50345568
34,terrestris,Heather,Control,wax,26,noeggs,29,survived,29,1.24,7.87,487.443403,0.002543885,-0.991241178,Uninfected,2.89,0.089656491
36,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.19,8.4,592.704,0.002007748,1.295967475,Uninfected,2.56,-0.693251575
38,terrestris,Heather,Low,wax,7,eggs,9,survived,29,1.68,7.69,454.756609,0.003694284,-1.768029022,Uninfected,3.24,0.920013531
39,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.45,8.46,605.495736,0.002394732,1.554896757,Uninfected,2.82,-0.076414917
40,terrestris,Heather,Control,wax,23,noeggs,29,survived,29,1.24,8.46,605.495736,0.002047909,1.554896757,Uninfected,3.08,0.540421741
42,terrestris,Heather,High,nowax,29,noeggs,29,died,9,0.89,8,512,0.001738281,-0.430227735,Uninfected,NA,NA
43,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.22,8.26,563.559976,0.00216481,0.691799152,Uninfected,2.72,-0.313659786
44,terrestris,Heather,Low,nowax,29,eggs,12,survived,29,1.15,8.21,553.387661,0.002078109,0.47602475,Uninfected,2.78,-0.171312864
45,terrestris,Heather,High,wax,3,noeggs,29,survived,29,1.41,8.07,525.557943,0.002682863,-0.128143573,Uninfected,2.89,0.089656491
51,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.19,7.98,508.169592,0.002341738,-0.516537495,Uninfected,2.47,-0.906771957
53,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.11,8.31,573.856191,0.001934283,0.907573553,Uninfected,2.78,-0.171312864
54,terrestris,Heather,High,wax,17,eggs,23,survived,29,1.28,8.19,549.353259,0.002330013,0.38971499,Uninfected,2.81,-0.100139404
55,terrestris,Heather,Control,nowax,29,noeggs,29,died,14,0.32,8.25,561.515625,0.000569886,0.648644271,Uninfected,1.29,NA
56,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.21,8.12,535.387328,0.002260046,0.087630828,Uninfected,2.51,-0.81187401
58,terrestris,Heather,Control,nowax,29,eggs,11,survived,29,1.31,8.1,531.441,0.002464996,0.001321068,Uninfected,3.01,0.374350333
59,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.37,8.28,567.663552,0.002413401,0.778108912,Uninfected,3.41,1.323329808
60,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,0.81,7.92,496.793088,0.001630457,-0.775466777,Uninfected,2.03,-1.950649379
61,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.01,8.38,588.480472,0.001716285,1.209657715,Uninfected,3.02,0.39807482
62,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.01,7.86,485.587656,0.002079954,-1.034396058,Uninfected,2.71,-0.337384272
64,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.05,8.27,565.609283,0.001856405,0.734954032,Uninfected,2.98,0.303176873
66,lucorum,Heather,High,wax,5,noeggs,29,survived,29,1.65,6.92,331.373888,0.00497927,-1.933715857,Uninfected,2.89,-0.104581033
67,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.12,8.17,545.338513,0.00205377,0.303405229,Uninfected,3.07,0.516697255
68,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.12,7.88,489.303872,0.002288966,-0.948086298,Uninfected,2.28,-1.357537207
72,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.29,8.2,551.368,0.002339635,0.43286987,Uninfected,2.64,-0.50345568
73,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.27,8.06,523.606616,0.002425485,-0.171298453,Uninfected,3.26,0.967462505
74,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.18,7.87,487.443403,0.002420794,-0.991241178,Uninfected,2.78,-0.171312864
75,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.37,8.02,515.849608,0.002655813,-0.343917974,Uninfected,2.54,-0.740700549
76,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.32,8.04,519.718464,0.002539837,-0.257608214,Uninfected,2.88,0.065932004
78,terrestris,Heather,Low,wax,7,noeggs,29,survived,29,1.54,8.1,531.441,0.002897782,0.001321068,Uninfected,3.51,1.560574676
79,terrestris,Heather,High,nowax,29,noeggs,29,died,6,0.73,8.21,553.387661,0.001319148,0.47602475,Uninfected,NA,NA
80,terrestris,Heather,Control,nowax,29,eggs,11,survived,29,1.52,8.05,521.660125,0.002913775,-0.214453333,Uninfected,2.94,0.208278925
83,terrestris,Heather,Control,nowax,29,eggs,8,survived,29,1.47,7.73,461.889917,0.003182577,-1.595409501,Uninfected,3.03,0.421799307
85,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.35,8.23,557.441767,0.002421778,0.562334511,Uninfected,3.34,1.1572584
86,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,2.25,8.39,590.589719,0.003809751,1.252812595,Uninfected,3.62,1.821544032
88,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.21,8.1,531.441,0.002276828,0.001321068,Uninfected,2.64,-0.50345568
90,terrestris,Heather,Low,nowax,29,eggs,20,survived,29,1.27,8.33,578.009537,0.002197196,0.993883313,Uninfected,3.85,2.36720723
91,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,0.62,8.3,571.787,0.00108432,0.864418673,Uninfected,NA,NA
92,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.34,8.27,565.609283,0.002369127,0.734954032,Uninfected,3.27,0.991186992
93,terrestris,Heather,Low,wax,14,eggs,15,survived,29,1.61,7.82,478.211768,0.003366709,-1.207015579,Uninfected,2.55,-0.716976062
95,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.22,8.11,533.411731,0.002287164,0.044475948,Uninfected,2.44,-0.977945418
96,terrestris,Heather,Low,wax,11,eggs,17,survived,29,1.55,8.24,559.476224,0.002770448,0.605489391,Uninfected,2.65,-0.479731194
97,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.38,7.98,508.169592,0.002715629,-0.516537495,Uninfected,2.58,-0.645802602
100,pratorum,Heather,High,nowax,29,eggs,10,survived,29,0.89,6.06,222.545016,0.003999191,-0.838825846,Uninfected,2.54,1.754578579
102,pratorum,Heather,Low,wax,5,noeggs,29,survived,29,1.29,6.14,231.475544,0.005572943,-0.494060728,Uninfected,1.44,-1.454508133
103,pratorum,Heather,High,wax,6,noeggs,29,survived,29,0.69,6.21,239.483061,0.002881206,-0.192391249,Uninfected,1.99,0.150035223
104,pratorum,Heather,Control,nowax,29,noeggs,29,survived,29,0.75,5.68,183.250432,0.00409276,-2.476460158,Uninfected,1.91,-0.083352902
110,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.57,8.24,559.476224,0.002806196,0.605489391,Uninfected,2.61,-0.574629141
111,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.27,8.07,525.557943,0.00241648,-0.128143573,Uninfected,2.96,0.255727899
112,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.15,8.25,561.515625,0.002048028,0.648644271,Uninfected,2.82,-0.076414917
114,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.35,8.18,547.343432,0.002466459,0.34656011,Uninfected,2.42,-1.025394391
117,terrestris,Heather,Low,nowax,29,noeggs,29,died,13,0.32,8.42,596.947688,0.00053606,1.382277236,Uninfected,1.75,NA
119,terrestris,Heather,Control,nowax,29,eggs,22,survived,29,1.32,8.31,573.856191,0.002300228,0.907573553,Uninfected,2.66,-0.456006707
121,terrestris,Heather,High,nowax,29,eggs,9,survived,29,1.57,8.13,537.367797,0.002921649,0.130785708,Uninfected,3.18,0.77766661
122,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.61,7.98,508.169592,0.003168234,-0.516537495,Uninfected,NA,NA
124,terrestris,Heather,High,nowax,29,eggs,8,survived,29,1.48,8.1,531.441,0.002784881,0.001321068,Uninfected,2.84,-0.028965943
125,terrestris,Heather,Control,wax,14,eggs,16,survived,29,1.01,8.19,549.353259,0.001838526,0.38971499,Uninfected,2.8,-0.123863891
126,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.18,8.57,629.422793,0.001874734,2.029600439,Uninfected,2.52,-0.788149523
128,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,0.97,8.19,549.353259,0.001765713,0.38971499,Uninfected,3.18,0.77766661
130,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.25,8.02,515.849608,0.002423187,-0.343917974,Uninfected,2.38,-1.120292339
132,terrestris,Heather,Low,nowax,29,eggs,14,survived,29,1.34,7.98,508.169592,0.002636915,-0.516537495,Uninfected,3.34,1.1572584
134,terrestris,Heather,Control,wax,11,eggs,16,survived,29,1.31,7.75,465.484375,0.002814273,-1.509099741,Uninfected,3.01,0.374350333
136,terrestris,Heather,High,nowax,29,eggs,9,survived,29,1.52,8.21,553.387661,0.002746718,0.47602475,Uninfected,3.24,0.920013531
138,terrestris,Heather,Low,nowax,29,noeggs,29,died,14,1.12,8.21,553.387661,0.002023898,0.47602475,Uninfected,2.12,NA
139,terrestris,Heather,High,wax,7,NA,12,survived,29,1.49,7.67,451.217663,0.003302176,-1.854338783,Uninfected,2.54,-0.740700549
143,terrestris,Heather,Control,wax,6,noeggs,29,survived,29,1.34,8.23,557.441767,0.002403839,0.562334511,Uninfected,2.76,-0.218761838
144,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.08,8.04,519.718464,0.002078048,-0.257608214,Uninfected,2.45,-0.954220931
145,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.24,7.94,500.566184,0.002477195,-0.689157016,Uninfected,3.03,0.421799307
146,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.22,7.85,483.736625,0.002522034,-1.077550938,Uninfected,2.89,0.089656491
147,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.52,7.45,413.493625,0.003675994,-2.803746148,Uninfected,3.23,0.896289044
148,terrestris,Heather,High,nowax,29,noeggs,29,died,19,0.97,8.35,582.182875,0.001666143,1.080193074,Uninfected,2.39,NA
150,terrestris,Heather,Low,nowax,29,noeggs,29,died,16,1.07,8.24,559.476224,0.001912503,0.605489391,Uninfected,3.55,NA
153,terrestris,Heather,Low,nowax,29,noeggs,29,died,17,0.65,8.49,611.960049,0.001062161,1.684361397,Uninfected,2.14,NA
155,terrestris,Heather,Control,wax,5,noeggs,29,survived,29,2.09,8.12,535.387328,0.003903716,0.087630828,Uninfected,2.62,-0.550904654
156,terrestris,Heather,Low,wax,6,NA,13,survived,13,2.18,7.89,491.169069,0.00443839,-0.904931417,Uninfected,2.6,-0.598353628
157,terrestris,Heather,High,wax,10,noeggs,29,survived,29,1.38,7.77,469.097433,0.00294182,-1.42278998,Uninfected,2.31,-1.286363747
158,terrestris,Heather,Control,nowax,29,noeggs,29,survived,29,1.32,8.53,620.650477,0.002126801,1.856980918,Uninfected,2.22,-1.499884129
159,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.37,7.81,476.379541,0.002875858,-1.250170459,Uninfected,2.86,0.01848303
160,terrestris,Heather,High,wax,13,noeggs,29,survived,29,1.37,7.8,474.552,0.002886933,-1.29332534,Uninfected,2.33,-1.238914773
161,terrestris,Heather,Control,nowax,29,noeggs,29,died,16,0.51,7.92,496.793088,0.001026584,-0.775466777,Uninfected,1.67,NA
162,terrestris,Heather,Low,nowax,29,noeggs,29,survived,29,1.05,7.57,433.798093,0.002420481,-2.285887585,Uninfected,3.05,0.469248281
163,terrestris,Heather,High,nowax,29,noeggs,29,survived,29,1.09,7.62,442.450728,0.002463551,-2.070113184,Uninfected,2.19,-1.571057589
164,terrestris,Heather,Control,wax,9,NA,21,survived,29,1.38,7.87,487.443403,0.002831098,-0.991241178,Uninfected,3.06,0.492972768
166,terrestris,Heather,High,wax,22,noeggs,29,survived,29,1.18,7.85,483.736625,0.002439344,-1.077550938,Uninfected,2.19,-1.571057589
167,terrestris,Heather,Control,wax,9,noeggs,29,survived,29,1.71,8.26,563.559976,0.003034282,0.691799152,Uninfected,4,2.723074532
168,terrestris,Heather,Low,wax,7,eggs,19,survived,29,1.74,8.45,603.351125,0.002883893,1.511741876,Uninfected,2.38,-1.120292339
170,terrestris,Heather,Control,wax,14,noeggs,29,survived,29,1.14,8.24,559.476224,0.00203762,0.605489391,Uninfected,2.85,-0.005241456
174,pratorum,Saville,Control,wax,4,noeggs,29,survived,29,1.45,6.38,259.694072,0.005583493,0.540234627,Uninfected,2.08,0.412596863
180,pratorum,Saville,Control,nowax,29,noeggs,29,died,15,0.98,6.49,273.359449,0.003585023,1.014286665,Uninfected,NA,NA
